Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
media,media_3_trace,113.6968765258789,Pass,236.1729381084442,20000046,6110263,3.2732,1130407,205432,0.1850,0.0336,18.1733%,10.2716,3597819,17.5134,179.8905,10000046,2782817,3.5935,568763,93715,0.2044,0.0337,16.4770%,9.3715,1651053,17.6178,165.1045
media,media_0_trace,111.51635646820068,Pass,238.0870659351349,20000044,5793553,3.4521,1125035,186521,0.1942,0.0322,16.5791%,9.3260,3273306,17.5493,163.6649,10000044,2490048,4.0160,559613,76071,0.2247,0.0306,13.5935%,7.6071,1348016,17.7205,134.8010
media,media_1_trace,93.95407485961914,Pass,237.07403588294983,20000048,5741185,3.4836,1052168,168648,0.1833,0.0294,16.0286%,8.4324,3013562,17.8689,150.6777,10000048,2325152,4.3008,496668,58089,0.2136,0.0250,11.6957%,5.8089,1058311,18.2188,105.8306
media,media_2_trace,114.14013576507568,Pass,279.343141078949,20000038,3779796,5.2913,682290,45009,0.1805,0.0119,6.5968%,2.2504,1398417,31.0697,69.9207,10000038,2155738,4.6388,342782,32567,0.1590,0.0151,9.5008%,3.2567,986563,30.2933,98.6559
